ticket_id,customerID,issue_type,priority,channel,status,created_days_ago,resolution_hours,resolution
TKT-000028,4445-ZJNMU,Streaming,High,Email,Closed,82,20.6,Escalated to specialist
TKT-000029,1862-QRWPE,Payment Issue,Low,Phone,Resolved,269,40.35,Replacement equipment requested
TKT-000030,3679-XASPY,Internet Connectivity,Low,Phone,Closed,272,76.73,Customer provided troubleshooting steps
TKT-000031,3679-XASPY,Equipment,Low,Chat,Resolved,117,66.08,Escalated to specialist
TKT-000032,3679-XASPY,Billing,Low,Phone,In Progress,7,25.16,Pending
TKT-000033,0486-HECZI,Service Change,Medium,Chat,In Progress,10,55.29,Pending
TKT-000034,4846-WHAFZ,Billing,High,Phone,Resolved,49,25.21,Payment method updated
TKT-000035,4846-WHAFZ,Streaming,Medium,Phone,Closed,218,48.57,Service configuration updated
TKT-000036,6497-TILVL,Internet Connectivity,Low,Web,Closed,67,98.87,Escalated to specialist
TKT-000037,4412-YLTKF,Payment Issue,Medium,Chat,Open,92,22.89,Pending
TKT-000038,4412-YLTKF,Technical Support,High,Chat,Closed,106,15.97,Payment method updated
TKT-000039,3930-ZGWVE,Service Change,Medium,Phone,Resolved,98,55.74,Customer provided troubleshooting steps
TKT-000040,0390-DCFDQ,Billing,Medium,Phone,Resolved,70,27.86,Account information updated
TKT-000041,0390-DCFDQ,Internet Connectivity,High,Phone,In Progress,211,7.7,Pending
TKT-000042,0390-DCFDQ,Billing,Medium,Phone,In Progress,157,51.57,Pending
TKT-000043,3780-YVMFA,Internet Connectivity,Medium,Email,Closed,196,19.62,Issue resolved remotely
TKT-000044,9073-ZZIAY,Internet Connectivity,Low,Phone,Resolved,3,68.57,Billing adjustment applied
TKT-000045,3077-RSNTJ,Equipment,Low,Phone,Closed,305,109.49,Account information updated
TKT-000046,9167-APMXZ,Payment Issue,High,Chat,Resolved,270,21.15,Customer provided troubleshooting steps
TKT-000047,9167-APMXZ,Technical Support,High,Web,Resolved,250,12.53,Replacement equipment requested
TKT-000048,9167-APMXZ,Internet Connectivity,High,Phone,Resolved,124,15.72,Billing adjustment applied
TKT-000049,9167-APMXZ,Internet Connectivity,Medium,Phone,Closed,289,66.65,Escalated to specialist
TKT-000050,4648-YPBTM,Internet Connectivity,Low,Chat,Closed,74,69.53,Account information updated
TKT-000051,2907-ILJBN,Internet Connectivity,Low,Chat,In Progress,184,26.27,Pending
TKT-000052,6345-FZOQH,Billing,Low,Email,Open,264,115.56,Pending
TKT-000053,7654-YWJUF,Account Access,Medium,Email,Closed,33,45.76,Billing adjustment applied
TKT-000054,7654-YWJUF,Billing,Low,Web,In Progress,3,62.33,Pending
TKT-000055,1744-JHKYS,Payment Issue,Medium,Web,Resolved,51,15.66,Escalated to specialist
TKT-000056,2070-FNEXE,Billing,Medium,Chat,Resolved,76,29.35,Replacement equipment requested
TKT-000057,6317-YPKDH,Payment Issue,Low,Phone,Resolved,114,27.96,Customer provided troubleshooting steps
TKT-000058,6317-YPKDH,Streaming,Low,Chat,Resolved,65,113.1,Service configuration updated
TKT-000059,5524-KHNJP,Technical Support,Low,Chat,Closed,309,24.8,Escalated to specialist
TKT-000060,5524-KHNJP,Equipment,Low,Web,In Progress,12,13.33,Pending
TKT-000061,1024-GUALD,Payment Issue,Medium,Web,Resolved,5,66.78,Billing adjustment applied
TKT-000062,1024-GUALD,Payment Issue,Medium,Email,Closed,250,61.56,Billing adjustment applied
TKT-000063,2984-RGEYA,Streaming,Low,Phone,Resolved,248,15.13,Escalated to specialist
TKT-000064,2604-IJPDU,Billing,Medium,Email,In Progress,106,10.31,Pending
TKT-000065,7018-WBJNK,Billing,High,Phone,Closed,105,5.83,Account information updated
TKT-000066,7018-WBJNK,Payment Issue,High,Chat,Closed,299,5.28,Account information updated
TKT-000067,7157-SMCFK,Billing,Low,Chat,Closed,32,28.76,Account information updated
TKT-000068,4709-LKHYG,Internet Connectivity,Low,Email,Closed,273,17.89,Service configuration updated
TKT-000069,4709-LKHYG,Account Access,Low,Chat,Closed,150,21.91,Customer provided troubleshooting steps
TKT-000070,9286-BHDQG,Streaming,Low,Chat,Closed,318,27.67,Service configuration updated
TKT-000071,0742-MOABM,Internet Connectivity,Medium,Chat,Closed,162,17.5,Escalated to specialist
TKT-000072,0742-MOABM,Technical Support,Low,Phone,Resolved,355,42.03,Customer provided troubleshooting steps
TKT-000073,0742-MOABM,Internet Connectivity,Low,Chat,Resolved,354,56.15,Payment method updated
TKT-000074,0959-WHOKV,Account Access,Low,Web,Open,174,36.36,Pending
TKT-000075,4075-JFPGR,Account Access,Low,Chat,Resolved,225,97.04,Billing adjustment applied
TKT-000076,7273-TEFQD,Technical Support,High,Web,Resolved,295,32.36,Replacement equipment requested
TKT-000077,7273-TEFQD,Streaming,High,Chat,Resolved,90,30.8,Billing adjustment applied
TKT-000078,7529-ZDFXI,Billing,Low,Phone,Closed,29,48.09,Billing adjustment applied
TKT-000079,0123-CRBRT,Internet Connectivity,Low,Chat,Open,258,52.2,Pending
TKT-000080,6292-TOSSS,Account Access,Low,Email,Resolved,28,95.39,Escalated to specialist
TKT-000081,3197-ARFOY,Service Change,Medium,Chat,Resolved,122,21.38,Issue resolved remotely
TKT-000082,3179-GBRWV,Internet Connectivity,Low,Email,Closed,349,102.62,Service configuration updated
TKT-000083,9512-UIBFX,Internet Connectivity,Low,Phone,Resolved,305,58.85,Account information updated
TKT-000084,9512-UIBFX,Technical Support,Low,Email,In Progress,343,37.15,Pending
TKT-000085,9512-UIBFX,Internet Connectivity,Medium,Web,Resolved,6,23.59,Issue resolved remotely
TKT-000086,7534-BFESC,Account Access,High,Chat,Resolved,224,15.73,Issue resolved remotely
TKT-000087,7534-BFESC,Technical Support,Medium,Web,Closed,194,62.53,Account information updated
TKT-000088,7534-BFESC,Technical Support,High,Email,Resolved,140,19.96,Billing adjustment applied
TKT-000089,0895-LMRSF,Billing,Low,Chat,Closed,143,48.6,Customer provided troubleshooting steps
TKT-000090,8266-VBFQL,Billing,High,Phone,Resolved,52,4.23,Service configuration updated
TKT-000091,8266-VBFQL,Internet Connectivity,High,Email,Resolved,293,19.28,Service configuration updated
TKT-000092,8181-YHCMF,Streaming,Low,Chat,Closed,168,24.32,Account information updated
TKT-000093,8181-YHCMF,Payment Issue,Low,Chat,Resolved,152,118.33,Escalated to specialist
TKT-000094,7277-OZCGZ,Payment Issue,Medium,Phone,Resolved,109,57.75,Issue resolved remotely
TKT-000095,5027-YOCXN,Streaming,Low,Web,Closed,27,21.16,Account information updated
TKT-000096,8626-PTQGE,Payment Issue,Medium,Phone,Closed,21,11.12,Billing adjustment applied
TKT-000097,4983-CLMLV,Service Change,Medium,Email,Closed,270,59.26,Replacement equipment requested
TKT-000098,2088-IEBAU,Internet Connectivity,Low,Phone,Closed,347,85.15,Service configuration updated
TKT-000099,7520-HQWJU,Technical Support,Medium,Phone,Resolved,152,30.27,Account information updated
TKT-000100,5924-SNGKP,Internet Connectivity,Low,Phone,Resolved,201,32.26,Escalated to specialist
TKT-000101,5924-SNGKP,Billing,Low,Chat,Closed,195,44.01,Escalated to specialist
TKT-000102,2034-GDRCN,Billing,Urgent,Chat,Closed,268,5.32,Service configuration updated
TKT-000103,2034-GDRCN,Streaming,High,Web,In Progress,31,10.46,Pending
TKT-000104,2034-GDRCN,Billing,High,Phone,Resolved,164,34.69,Payment method updated
TKT-000105,0513-RBGPE,Technical Support,Low,Phone,Closed,205,110.18,Billing adjustment applied
TKT-000106,0513-RBGPE,Technical Support,Low,Chat,Resolved,10,38.07,Billing adjustment applied
TKT-000107,4115-NZRKS,Billing,Urgent,Web,In Progress,92,9.62,Pending
TKT-000108,4115-NZRKS,Technical Support,High,Chat,Closed,94,32.88,Account information updated
TKT-000109,4115-NZRKS,Payment Issue,High,Phone,Resolved,156,34.57,Replacement equipment requested
TKT-000110,6158-HDPXZ,Technical Support,Low,Phone,Closed,107,38.58,Issue resolved remotely
TKT-000111,5167-ZFFMM,Technical Support,High,Phone,Resolved,311,16.3,Issue resolved remotely
TKT-000112,5167-ZFFMM,Billing,High,Phone,In Progress,179,17.33,Pending
TKT-000113,6583-SZVGP,Billing,Medium,Web,Open,101,29.32,Pending
TKT-000114,0979-PHULV,Payment Issue,Medium,Phone,In Progress,218,38.71,Pending
TKT-000115,5495-GPSRW,Internet Connectivity,Low,Phone,Closed,181,88.85,Payment method updated
TKT-000116,5495-GPSRW,Internet Connectivity,Low,Email,In Progress,33,32.34,Pending
TKT-000117,7606-BPHHN,Billing,Low,Web,In Progress,84,103.74,Pending
TKT-000118,4360-PNRQB,Equipment,High,Chat,In Progress,363,12.14,Pending
TKT-000119,4360-PNRQB,Equipment,High,Email,Resolved,29,30.02,Billing adjustment applied
TKT-000120,4376-KFVRS,Payment Issue,Low,Web,In Progress,232,20.44,Pending
TKT-000121,0732-OCQOC,Internet Connectivity,Low,Chat,In Progress,308,91.77,Pending
TKT-000122,1090-ESELR,Equipment,Low,Phone,In Progress,244,30.68,Pending
TKT-000123,0256-LTHVJ,Streaming,Low,Email,Open,211,25.71,Pending
TKT-000124,4785-FCIFB,Equipment,Low,Phone,Resolved,263,76.21,Issue resolved remotely
TKT-000125,4785-FCIFB,Internet Connectivity,Low,Phone,Closed,19,36.98,Service configuration updated
TKT-000126,4237-CLSMM,Internet Connectivity,Low,Web,Resolved,274,90.38,Replacement equipment requested
TKT-000127,4237-CLSMM,Account Access,Medium,Web,Closed,337,8.8,Service configuration updated
TKT-000128,4640-UHDOS,Technical Support,Low,Email,Open,240,85.72,Pending
TKT-000129,4640-UHDOS,Billing,Medium,Phone,In Progress,335,66.41,Pending
TKT-000130,3780-DDGSE,Technical Support,Low,Web,Closed,151,92.11,Service configuration updated
TKT-000131,6227-HWPWX,Payment Issue,Medium,Email,Open,255,59.08,Pending
TKT-000132,6227-HWPWX,Billing,Low,Phone,Closed,77,52.73,Escalated to specialist
TKT-000133,0447-BEMNG,Equipment,Low,Chat,Resolved,208,56.19,Service configuration updated
TKT-000134,0447-BEMNG,Account Access,Medium,Phone,Resolved,124,33.22,Payment method updated
TKT-000135,7971-HLVXI,Internet Connectivity,Low,Email,Resolved,265,22.68,Customer provided troubleshooting steps
TKT-000136,3649-JPUGY,Equipment,Low,Phone,In Progress,175,62.59,Pending
TKT-000137,3649-JPUGY,Internet Connectivity,Low,Email,Resolved,90,65.51,Replacement equipment requested
TKT-000138,0388-EOPEX,Internet Connectivity,Medium,Email,Closed,282,71.01,Escalated to specialist
TKT-000139,0388-EOPEX,Streaming,High,Phone,Open,343,21.69,Pending
TKT-000140,7803-XOCCZ,Equipment,Low,Phone,Resolved,30,29.31,Billing adjustment applied
TKT-000141,7218-HKQFK,Account Access,High,Web,In Progress,305,28.32,Pending
TKT-000142,7218-HKQFK,Payment Issue,Medium,Phone,Closed,85,14.43,Escalated to specialist
TKT-000143,7218-HKQFK,Internet Connectivity,High,Web,In Progress,23,11.85,Pending
TKT-000144,4332-MUOEZ,Equipment,Medium,Web,Resolved,263,23.67,Customer provided troubleshooting steps
TKT-000145,4332-MUOEZ,Internet Connectivity,Medium,Chat,Closed,120,39.4,Service configuration updated
TKT-000146,6705-LXORM,Technical Support,Medium,Phone,In Progress,67,38.85,Pending
TKT-000147,6705-LXORM,Streaming,Medium,Phone,Resolved,60,9.92,Billing adjustment applied
TKT-000148,7531-GQHME,Equipment,Low,Web,Resolved,354,69.44,Payment method updated
TKT-000149,0913-XWSCN,Streaming,Medium,Web,Closed,306,66.92,Customer provided troubleshooting steps
TKT-000150,6825-UYPFK,Billing,Low,Chat,Closed,20,97.71,Account information updated
TKT-000151,8397-MVTAZ,Streaming,Medium,Phone,Resolved,202,25.98,Escalated to specialist
TKT-000152,8397-MVTAZ,Billing,High,Phone,In Progress,287,16.57,Pending
TKT-000153,3571-DPYUH,Internet Connectivity,Low,Chat,Resolved,240,63.06,Service configuration updated
TKT-000154,3571-DPYUH,Streaming,Low,Chat,In Progress,359,16.35,Pending
TKT-000155,3571-DPYUH,Technical Support,Medium,Email,Closed,165,50.24,Service configuration updated
TKT-000156,1403-GYAFU,Streaming,Low,Web,Closed,326,89.74,Service configuration updated
TKT-000157,2782-LFZVW,Streaming,Low,Phone,Resolved,254,59.53,Payment method updated
TKT-000158,2075-PUEPR,Billing,Low,Chat,Resolved,112,47.27,Issue resolved remotely
TKT-000159,5301-GAUUY,Payment Issue,Medium,Chat,In Progress,63,25.61,Pending
TKT-000160,2501-XWWTZ,Internet Connectivity,High,Phone,Closed,350,26.44,Service configuration updated
TKT-000161,2501-XWWTZ,Streaming,High,Chat,In Progress,24,35.24,Pending
TKT-000162,6815-ABQFQ,Service Change,Low,Email,Resolved,351,59.95,Service configuration updated
TKT-000163,1218-VKFPE,Equipment,Low,Web,Resolved,162,48.08,Replacement equipment requested
TKT-000164,1218-VKFPE,Internet Connectivity,Medium,Chat,Closed,341,55.68,Escalated to specialist
TKT-000165,1218-VKFPE,Payment Issue,Medium,Web,Resolved,255,49.27,Customer provided troubleshooting steps
TKT-000166,3627-FHKBK,Internet Connectivity,Medium,Phone,Resolved,240,63.08,Account information updated
TKT-000167,2865-TCHJW,Billing,High,Chat,Closed,86,28.78,Customer provided troubleshooting steps
TKT-000168,2865-TCHJW,Billing,High,Phone,Closed,345,17.53,Customer provided troubleshooting steps
TKT-000169,2865-TCHJW,Account Access,Urgent,Phone,Closed,342,9.7,Customer provided troubleshooting steps
TKT-000170,0719-SYFRB,Equipment,Medium,Chat,Open,210,35.1,Pending
TKT-000171,2001-MCUUW,Technical Support,Low,Email,Resolved,9,67.78,Escalated to specialist
TKT-000172,6543-CPZMK,Service Change,Medium,Web,Resolved,65,11.29,Payment method updated
TKT-000173,7134-MJPDY,Internet Connectivity,Medium,Chat,Closed,341,28.58,Payment method updated
TKT-000174,7134-MJPDY,Payment Issue,Medium,Email,Resolved,98,64.26,Customer provided troubleshooting steps
TKT-000175,5240-CAOYT,Internet Connectivity,Low,Phone,Open,83,59.12,Pending
TKT-000176,0516-UXRMT,Billing,Low,Phone,Closed,10,104.97,Customer provided troubleshooting steps
TKT-000177,0516-UXRMT,Payment Issue,Low,Phone,Closed,155,91.68,Payment method updated
TKT-000178,5016-IBERQ,Payment Issue,Medium,Web,Closed,113,22.03,Billing adjustment applied
TKT-000179,9931-KGHOA,Service Change,Low,Phone,Open,60,100.9,Pending
TKT-000180,0970-ETWGE,Streaming,High,Web,Resolved,335,32.0,Payment method updated
TKT-000181,0970-ETWGE,Streaming,Urgent,Phone,In Progress,173,4.18,Pending
TKT-000182,0970-ETWGE,Payment Issue,Urgent,Chat,Resolved,136,1.29,Replacement equipment requested
TKT-000183,9576-ANLXO,Account Access,High,Web,In Progress,95,30.45,Pending
TKT-000184,9576-ANLXO,Technical Support,Medium,Web,In Progress,60,44.1,Pending
TKT-000185,5845-BZZIB,Billing,Low,Email,In Progress,282,30.57,Pending
TKT-000186,5845-BZZIB,Equipment,Low,Email,Resolved,173,35.24,Issue resolved remotely
TKT-000187,4160-AMJTL,Internet Connectivity,Low,Phone,In Progress,151,57.66,Pending
TKT-000188,7838-LAZFO,Internet Connectivity,Medium,Web,Resolved,89,30.87,Issue resolved remotely
TKT-000189,4464-JCOLN,Account Access,Low,Email,Closed,255,23.6,Issue resolved remotely
TKT-000190,5533-RJFTJ,Account Access,Low,Chat,Closed,38,68.81,Account information updated
TKT-000191,3088-FVYWK,Billing,Low,Email,Resolved,32,99.07,Service configuration updated
TKT-000192,3088-FVYWK,Internet Connectivity,Medium,Web,Resolved,106,32.37,Escalated to specialist
TKT-000193,3088-FVYWK,Technical Support,Low,Phone,In Progress,79,23.15,Pending
TKT-000194,0823-HSCDJ,Account Access,Low,Web,Resolved,292,112.09,Replacement equipment requested
TKT-000195,0823-HSCDJ,Streaming,Low,Web,Resolved,353,61.88,Service configuration updated
TKT-000196,3729-OWRVL,Account Access,Low,Web,Resolved,194,29.93,Issue resolved remotely
TKT-000197,3729-OWRVL,Payment Issue,Low,Web,In Progress,276,39.8,Pending
TKT-000198,1448-PWKYE,Streaming,High,Phone,Resolved,239,16.56,Escalated to specialist
TKT-000199,1448-PWKYE,Streaming,High,Phone,Open,341,22.01,Pending
TKT-000200,1448-PWKYE,Billing,High,Web,Closed,74,4.18,Payment method updated
TKT-000201,7251-LJBQN,Internet Connectivity,Medium,Web,Resolved,22,18.28,Billing adjustment applied
TKT-000202,7251-LJBQN,Payment Issue,Medium,Email,Resolved,28,62.76,Escalated to specialist
TKT-000203,1536-HBSWP,Account Access,Medium,Phone,Resolved,142,38.83,Account information updated
TKT-000204,5313-FPXWG,Streaming,Low,Web,Resolved,47,24.79,Payment method updated
TKT-000205,8338-QIUNR,Payment Issue,Low,Email,Resolved,25,68.21,Issue resolved remotely
TKT-000206,8338-QIUNR,Technical Support,Low,Chat,In Progress,42,78.82,Pending
TKT-000207,1525-LNLOJ,Technical Support,Low,Phone,In Progress,210,49.17,Pending
TKT-000208,9450-TRJUU,Streaming,Medium,Email,Closed,90,49.71,Issue resolved remotely
TKT-000209,9450-TRJUU,Equipment,High,Web,Resolved,133,21.11,Issue resolved remotely
TKT-000210,4312-KFRXN,Streaming,Low,Phone,Closed,191,16.87,Escalated to specialist
TKT-000211,4312-KFRXN,Streaming,Medium,Phone,Open,2,17.97,Pending
TKT-000212,4312-KFRXN,Technical Support,Medium,Web,Resolved,289,12.04,Payment method updated
TKT-000213,5575-TPIZQ,Internet Connectivity,Low,Email,In Progress,73,105.67,Pending
TKT-000214,5575-TPIZQ,Service Change,Medium,Chat,Closed,132,16.12,Escalated to specialist
TKT-000215,5575-TPIZQ,Payment Issue,Medium,Email,Resolved,79,53.11,Escalated to specialist
TKT-000216,9944-AEXBM,Technical Support,Low,Web,Resolved,42,20.36,Issue resolved remotely
TKT-000217,4018-PPNDW,Technical Support,Medium,Phone,Resolved,115,21.17,Customer provided troubleshooting steps
TKT-000218,4018-PPNDW,Streaming,Low,Email,Resolved,318,37.53,Escalated to specialist
TKT-000219,6919-ELBGL,Internet Connectivity,Low,Web,In Progress,133,70.02,Pending
TKT-000220,3966-HRMZA,Internet Connectivity,High,Email,Resolved,228,15.13,Escalated to specialist
TKT-000221,3966-HRMZA,Billing,Medium,Email,Resolved,310,57.33,Payment method updated
TKT-000222,3115-CZMZD,Internet Connectivity,Low,Chat,Resolved,60,36.69,Payment method updated
TKT-000223,4013-GUXND,Internet Connectivity,Medium,Phone,In Progress,215,41.25,Pending
TKT-000224,4013-GUXND,Technical Support,Low,Web,Closed,187,57.55,Payment method updated
TKT-000225,1894-IGFSG,Account Access,Medium,Phone,Resolved,218,38.02,Escalated to specialist
TKT-000226,1894-IGFSG,Equipment,High,Chat,Open,262,29.02,Pending
TKT-000227,8728-SKJLR,Service Change,Medium,Phone,Resolved,159,51.0,Replacement equipment requested
TKT-000228,0322-CHQRU,Internet Connectivity,Low,Web,Closed,17,61.65,Replacement equipment requested
TKT-000229,0322-CHQRU,Internet Connectivity,Medium,Phone,In Progress,137,55.83,Pending
TKT-000230,0322-CHQRU,Equipment,Low,Email,Open,293,33.35,Pending
TKT-000231,4678-DVQEO,Technical Support,Medium,Chat,Closed,305,30.89,Customer provided troubleshooting steps
TKT-000232,3442-ZHHCC,Internet Connectivity,Low,Phone,Resolved,258,88.14,Service configuration updated
TKT-000233,2040-OBMLJ,Technical Support,Medium,Chat,Closed,76,60.52,Payment method updated
TKT-000234,5671-RQRLP,Internet Connectivity,Low,Web,Resolved,262,93.19,Customer provided troubleshooting steps
TKT-000235,9926-PJHDQ,Internet Connectivity,Low,Phone,Resolved,314,37.49,Billing adjustment applied
TKT-000236,2798-NYLMZ,Streaming,Low,Email,Resolved,227,78.26,Escalated to specialist
TKT-000237,2798-NYLMZ,Equipment,Medium,Web,Closed,277,9.01,Issue resolved remotely
TKT-000238,1820-TQVEV,Technical Support,Medium,Web,Resolved,234,14.95,Account information updated
TKT-000239,1820-TQVEV,Internet Connectivity,High,Email,Closed,244,32.48,Account information updated
TKT-000240,5318-YKDPV,Technical Support,Low,Email,Resolved,158,72.16,Billing adjustment applied
TKT-000241,3487-EARAT,Internet Connectivity,Low,Email,Open,279,102.09,Pending
TKT-000242,7408-OFWXJ,Internet Connectivity,Low,Phone,Closed,336,27.13,Escalated to specialist
TKT-000243,7408-OFWXJ,Service Change,Medium,Phone,In Progress,125,24.93,Pending
TKT-000244,8713-IGZSO,Technical Support,Low,Chat,Closed,211,102.19,Payment method updated
TKT-000245,9777-IQHWP,Billing,Low,Phone,Closed,77,68.04,Customer provided troubleshooting steps
TKT-000246,0979-MOZQI,Billing,Low,Web,Closed,87,33.11,Customer provided troubleshooting steps
TKT-000247,0979-MOZQI,Technical Support,Low,Chat,Closed,269,118.16,Replacement equipment requested
TKT-000248,3313-QKNKB,Technical Support,Medium,Chat,In Progress,32,14.26,Pending
TKT-000249,9851-KIELU,Internet Connectivity,Medium,Phone,Resolved,70,66.09,Account information updated
TKT-000250,9851-KIELU,Payment Issue,Medium,Phone,In Progress,101,68.4,Pending
TKT-000251,3908-BLSYF,Internet Connectivity,High,Phone,Resolved,31,24.46,Customer provided troubleshooting steps
TKT-000252,3908-BLSYF,Payment Issue,Medium,Email,Closed,91,22.57,Account information updated
TKT-000253,5170-PTRKA,Equipment,Low,Chat,Resolved,220,96.33,Customer provided troubleshooting steps
TKT-000254,0048-LUMLS,Payment Issue,Low,Web,Closed,359,100.61,Replacement equipment requested
TKT-000255,0048-LUMLS,Payment Issue,Low,Phone,Open,113,66.57,Pending
TKT-000256,0048-LUMLS,Account Access,Low,Email,Closed,291,91.54,Customer provided troubleshooting steps
TKT-000257,9227-LUNBG,Technical Support,Medium,Email,Closed,3,66.74,Replacement equipment requested
TKT-000258,9227-LUNBG,Streaming,Medium,Web,Resolved,26,14.0,Escalated to specialist
TKT-000259,9227-LUNBG,Technical Support,High,Chat,In Progress,219,35.36,Pending
TKT-000260,7997-EASSD,Internet Connectivity,Medium,Chat,Resolved,108,61.09,Replacement equipment requested
TKT-000261,7997-EASSD,Billing,Low,Web,Closed,221,17.96,Payment method updated
TKT-000262,0730-KOAVE,Equipment,Low,Email,Resolved,316,92.97,Issue resolved remotely
TKT-000263,1051-GEJLJ,Equipment,Low,Phone,Closed,200,96.16,Service configuration updated
TKT-000264,0379-DJQHR,Internet Connectivity,Low,Chat,Closed,40,92.35,Replacement equipment requested
TKT-000265,0297-RBCSG,Technical Support,Low,Phone,Resolved,7,99.67,Escalated to specialist
TKT-000266,4301-VVZKA,Technical Support,Medium,Email,Closed,247,29.26,Escalated to specialist
TKT-000267,4301-VVZKA,Internet Connectivity,Medium,Phone,Open,139,71.35,Pending
TKT-000268,4750-ZRXIU,Billing,Urgent,Chat,Resolved,14,10.7,Replacement equipment requested
TKT-000269,4750-ZRXIU,Service Change,High,Web,Closed,257,18.96,Billing adjustment applied
TKT-000270,4750-ZRXIU,Internet Connectivity,Urgent,Phone,In Progress,275,10.26,Pending
TKT-000271,6630-UJZMY,Service Change,Urgent,Chat,Open,76,3.38,Pending
TKT-000272,6630-UJZMY,Service Change,Urgent,Web,In Progress,91,7.1,Pending
TKT-000273,6630-UJZMY,Account Access,Urgent,Phone,Resolved,120,8.42,Replacement equipment requested
TKT-000274,5709-LVOEQ,Billing,Low,Phone,Resolved,363,59.62,Customer provided troubleshooting steps
TKT-000275,5709-LVOEQ,Payment Issue,Low,Web,Closed,14,63.04,Account information updated
TKT-000276,6680-WKXRZ,Account Access,High,Web,Resolved,234,27.6,Service configuration updated
TKT-000277,6680-WKXRZ,Billing,High,Email,Resolved,122,18.99,Payment method updated
TKT-000278,6169-PPETC,Technical Support,Low,Phone,In Progress,214,58.65,Pending
TKT-000279,6169-PPETC,Payment Issue,Low,Web,Open,356,113.64,Pending
TKT-000280,6169-PPETC,Internet Connectivity,Low,Chat,Resolved,113,94.04,Payment method updated
TKT-000281,4208-UFFGW,Equipment,Medium,Chat,Closed,132,22.33,Escalated to specialist
TKT-000282,5382-SOYZL,Internet Connectivity,Medium,Email,Resolved,4,41.71,Escalated to specialist
TKT-000283,5382-SOYZL,Service Change,High,Phone,Closed,139,30.65,Service configuration updated
TKT-000284,4002-BQWPQ,Technical Support,Medium,Email,Closed,212,25.22,Account information updated
TKT-000285,5651-YLPRD,Technical Support,Medium,Chat,Resolved,151,55.95,Payment method updated
TKT-000286,4541-RMRLG,Internet Connectivity,Low,Email,In Progress,359,36.61,Pending
TKT-000287,7764-BDPEE,Account Access,Low,Phone,Resolved,93,41.7,Replacement equipment requested
TKT-000288,7764-BDPEE,Billing,Low,Phone,Resolved,9,28.78,Account information updated
TKT-000289,3429-IFLEM,Technical Support,Low,Chat,Open,229,13.19,Pending
TKT-000290,6646-QVXLR,Equipment,Medium,Phone,In Progress,295,54.39,Pending
TKT-000291,6461-PPAXN,Streaming,Low,Web,Resolved,281,36.24,Billing adjustment applied
TKT-000292,8165-ZJRNM,Technical Support,Low,Web,Open,198,77.92,Pending
TKT-000293,9369-XFEHK,Payment Issue,Medium,Web,Open,226,23.72,Pending
TKT-000294,9369-XFEHK,Billing,Low,Web,Resolved,31,101.04,Customer provided troubleshooting steps
